,age_range,sex,city,use_of_HS,frequency_of_use,reasons_no_usage,reasons_usage,km_to_use,use_if_direct_connection?,reason_if_direct_connection,chosen_train_operator,cheapest_operator,most_reliable_operator,price_evaluation,puntuality_evaluation,comfort_evaluation,frecuency_evaluation,restaurant_evaluation,customer_service_evaluation,flexible_tickets_evaluation,desired_improvements,pay_more?,HS_rating,Reducción de precios,Más conexiones y destinos nacionales,Más conexiones y destinos con Europa,Mayor puntualidad,Mayor comodidad,Mejor atención al cliente,Bonos o tarjetas de viajero frecuente,Servicios nocturnos,comunidad_autonoma,No hay buenas conexiones con mis destinos,Prefiero otros medios de transporte,No lo necesito,Demasiado caro
16,25-34,Hombre,Orduna,No,Nunca,No lo necesito,,0,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,5,4,2,5,1,4,5,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,2,0,1,1,0,0,0,0,0,Basque Country,0,0,1,0
17,25-34,Mujer,Sestao,No,Nunca,No lo necesito,Ocio,250,Sí,Comodidad,Iryo,Iryo,Iryo,5,5,4,5,4,4,4,Reducción de precios;Más conexiones y destinos nacionales,No,3,1,1,0,0,0,0,0,0,Basque Country,0,0,1,0
18,25-34,Hombre,Bilbao,No,Nunca,No hay buenas conexiones con mis destinos,,0,Sí,,No tengo preferencia,Ouigo,Ouigo,4,5,4,4,1,5,4,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,No,3,0,1,1,0,0,0,0,0,Basque Country,1,0,0,0
19,25-34,Hombre,Muskiz,No,Nunca,No hay buenas conexiones con mis destinos,,0,Sí,"me gustan los trenes, son menos susceptibles de imprevistos y te dejan en el centro",No tengo preferencia,Renfe,Ouigo,3,5,4,5,1,4,4,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Servicios nocturnos,Sí,3,0,1,1,0,0,0,0,1,Basque Country,1,0,0,0
20,18-24,Mujer,Bilbao,Sí,Menos de una vez al año,Demasiado caro;No hay buenas conexiones con mis destinos,Ocio,200,No,alto precio,No tengo preferencia,Ouigo,Renfe,5,5,3,3,1,4,4,Reducción de precios;Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,Sí,3,1,1,0,0,0,0,1,1,Basque Country,1,0,0,1
21,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,100,Sí,,No tengo preferencia,Iryo,Renfe,5,4,4,4,3,4,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,Sí,4,1,1,1,0,0,0,1,1,Basque Country,1,0,0,0
22,25-34,Hombre,Getxo,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,150,Sí,Comodidad,No tengo preferencia,Ouigo,Iryo,4,5,4,4,2,3,4,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Servicios nocturnos,Sí,3,0,1,1,0,0,0,0,1,Basque Country,1,0,0,0
23,25-34,Hombre,Bilbao,Sí,Nunca,Demasiado caro;Prefiero otros medios de transporte;No hay buenas conexiones con mis destinos,,0,Sí,,No tengo preferencia,Iryo,Ouigo,5,5,4,4,1,2,3,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Servicios nocturnos,No,2,1,1,1,1,0,0,0,1,Basque Country,1,1,0,1
24,35-44,Mujer,Derio,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,100,Sí,Rapidez,No tengo preferencia,Ouigo,Renfe,5,5,5,5,3,4,5,Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,Sí,3,0,1,0,0,0,0,1,0,Basque Country,1,0,0,0
25,25-34,Mujer,Sevilla,Sí,1-3 veces al año,No lo necesito,Ocio,100,Sí,Comodidad y rapidez,Renfe,Ouigo,Renfe,5,4,3,4,1,2,2,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,3,1,1,1,0,0,0,0,0,Andalusia,0,0,1,0
26,25-34,Mujer,Zamudio,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,300,Sí,más sostenible,No tengo preferencia,Ouigo,Ouigo,4,4,3,4,1,2,5,Más conexiones y destinos nacionales,Sí,3,0,1,0,0,0,0,0,0,Basque Country,1,0,0,0
27,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,Prefiero otros medios de transporte,Ocio,200,Sí,más sostenible,Renfe,Iryo,Renfe,3,4,4,2,1,5,5,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad,Sí,3,0,1,1,1,0,0,0,0,Basque Country,0,1,0,0
28,25-34,Hombre,Barakaldo,No,Nunca,No hay buenas conexiones con mis destinos,,250,Sí,,Renfe,Iryo,Renfe,4,3,3,5,1,2,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Bonos o tarjetas de viajero frecuente,Sí,3,1,1,1,0,0,0,1,0,Basque Country,1,0,0,0
29,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,0,Sí,Comodidad,No tengo preferencia,Ouigo,Ouigo,4,5,4,3,1,4,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Mayor comodidad;Mejor atención al cliente;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,Sí,3,1,1,1,1,1,1,1,1,Basque Country,1,0,0,0
30,25-34,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,0,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,5,4,3,2,1,3,2,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Servicios nocturnos,Sí,3,1,1,1,1,0,0,0,1,Basque Country,1,0,0,0
31,25-34,Mujer,Madrid,Sí,1-3 veces al año,Demasiado caro,Ocio,300,No,alto precio,No tengo preferencia,Iryo,Renfe,5,4,4,3,1,3,2,Reducción de precios;Mayor puntualidad;Bonos o tarjetas de viajero frecuente,No,3,1,0,0,1,0,0,1,0,Community of Madrid,0,0,0,1
32,45-54,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,200,Sí,Comodidad y rapidez,No tengo preferencia,Renfe,Renfe,3,5,4,4,2,3,4,Reducción de precios;Más conexiones y destinos nacionales,Sí,3,1,1,0,0,0,0,0,0,Basque Country,1,0,0,0
33,35-44,Mujer,Madrid,Sí,Cada mes,Demasiado caro;No hay buenas conexiones con mis destinos,Ver familiares,0,Sí,Comodidad,Renfe,Ouigo,Renfe,4,4,4,4,2,4,4,Reducción de precios;Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,Sí,3,1,1,0,0,0,0,1,0,Community of Madrid,1,0,0,1
34,35-44,Hombre,Barcelona,Sí,Nunca,No hay buenas conexiones con mis destinos,,0,Sí,,Ouigo,Ouigo,Ouigo,5,4,4,3,1,3,4,Más conexiones y destinos con Europa,Sí,4,0,0,1,0,0,0,0,0,Catalonia,1,0,0,0
35,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,0,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,4,5,5,5,3,5,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Mayor comodidad;Bonos o tarjetas de viajero frecuente,Sí,4,1,1,1,1,1,0,1,0,Basque Country,1,0,0,0
